target_id,target_name,target_family,predictor,availability_status,reason
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:incident_aaa_2104,incident_aaa_2104,Aortic aneurysm,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:prior_aaa_2104,prior_aaa_2104,Aortic aneurysm,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:cvd_af_2104,cvd_af_2104,Atrial fibrillation,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:cvd_af_date_2104,cvd_af_date_2104,Atrial fibrillation,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:incident_cvd_af_2104,incident_cvd_af_2104,Atrial fibrillation,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:prior_cvd_af_2104,prior_cvd_af_2104,Atrial fibrillation,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:fracture_2104,fracture_2104,Bone / fracture,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:fracture_date_2104,fracture_date_2104,Bone / fracture,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:incident_fracture_2104,incident_fracture_2104,Bone / fracture,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
metabolite_csv:prior_fracture_2104,prior_fracture_2104,Bone / fracture,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the eye-brain namespace, bridgeable to eid_ckd through bridge_brain.dta."
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the eye-brain namespace, bridgeable to eid_ckd through bridge_brain.dta."
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,Genetics / WES / WGS,Missing,"Derived from requested-data status: no genotype, imputation, exome, genome, or telomere files were retrieved locally."
eye_brain_ukb42577:aggregate_target:brain_mri_derived_scalar_phenotypes,Brain MRI derived scalar phenotypes,Brain MRI phenotypes,Actual imaging assets,Missing,"Derived from requested-data status: file IDs are present for some imaging, but the image files themselves are not retrieved."
eye_kidney_ukb42408:linked_endpoint:end_stage_renal_disease,Date/source of end stage renal disease report,CKD / kidney function,Conventional covariates / metadata,Available,"Demographic, visit, physical, lifestyle, and questionnaire metadata are present in the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
eye_kidney_ukb42408:linked_endpoint:end_stage_renal_disease,Date/source of end stage renal disease report,CKD / kidney function,Routine clinical biomarkers,Available,"Routine blood/urine biomarker fields are present and are alignable within the CKD/eid_ckd namespace, bridgeable to eye-brain through bridge_brain.dta."
eye_kidney_ukb42408:linked_endpoint:end_stage_renal_disease,Date/source of end stage renal disease report,CKD / kidney function,NMR metabolomics,Available,METABOLITE.csv aligns with eye-kidney by eid_ckd and with eye-brain through bridge_brain.dta.
eye_kidney_ukb42408:linked_endpoint:end_stage_renal_disease,Date/source of end stage renal disease report,CKD / kidney function,Brain MRI scalar traits,Available,Brain MRI scalar traits are in ukb42577 and are bridge-alignable to eid_ckd through bridge_brain.dta.
eye_kidney_ukb42408:linked_endpoint:end_stage_renal_disease,Date/source of end stage renal disease report,CKD / kidney function,DXA/body-composition traits,Available,DXA/body-composition traits are in ukb43216 and are bridge-alignable to eid_ckd through bridge_brain.dta.
eye_kidney_ukb42408:linked_endpoint:end_stage_renal_disease,Date/source of end stage renal disease report,CKD / kidney function,Eye imaging IDs/acquisition metadata,Available,Eye imaging file identifiers and acquisition metadata exist in the retrieved application returns; this does not include image pixels.
eye_kidney_ukb42408:linked_endpoint:end_stage_renal_disease,Date/source of end stage renal disease report,CKD / kidney function,Cognitive assessment features,Available,Cognitive assessment fields are in the eye-brain returns and are bridge-alignable to eid_ckd through bridge_brain.dta.
eye_kidney_ukb42408:linked_endpoint:end_stage_renal_disease,Date/source of end stage renal disease report,CKD / kidney function,Proteomics panel,Missing,Derived from requested-data status: no whole proteomics panel was retrieved locally.
